id,power_mod_id,car_id,engine_id,hp_gain,torque_nm_gain,notes
82,3,17,17,12,18,"Catback exhaust for 292hp car = +12 hp"
83,5,17,17,7,12,"Cold air intake for 292hp car = +7 hp"
84,7,17,17,12,18,"Intercooler upgrade for 292hp car = +12 hp"
85,12,17,17,0,0,"LSD differential for 292hp car = +0 hp"
86,1,18,18,30,50,"Stage 1 ECU for 292hp car = +30 hp"
87,3,18,18,12,18,"Catback exhaust for 292hp car = +12 hp"
88,5,18,18,7,12,"Cold air intake for 292hp car = +7 hp"
89,7,18,18,12,18,"Intercooler upgrade for 292hp car = +12 hp"
90,12,18,18,0,0,"LSD differential for 292hp car = +0 hp"
91,1,19,19,15,25,"Stage 1 ECU for 150hp car = +15 hp"
92,3,19,19,6,10,"Catback exhaust for 150hp car = +6 hp"
93,5,19,19,4,6,"Cold air intake for 150hp car = +4 hp"
94,7,19,19,0,0,"Intercooler upgrade for 150hp car = +0 hp"
95,12,19,19,0,0,"LSD differential for 150hp car = +0 hp"
96,1,20,20,15,25,"Stage 1 ECU for 150hp car = +15 hp"
97,3,20,20,6,10,"Catback exhaust for 150hp car = +6 hp"
98,5,20,20,4,6,"Cold air intake for 150hp car = +4 hp"
99,7,20,20,0,0,"Intercooler upgrade for 150hp car = +0 hp"
100,12,20,20,0,0,"LSD differential for 150hp car = +0 hp"
101,1,21,21,15,25,"Stage 1 ECU for 150hp car = +15 hp"
102,3,21,21,6,10,"Catback exhaust for 150hp car = +6 hp"
103,5,21,21,4,6,"Cold air intake for 150hp car = +4 hp"
104,7,21,21,0,0,"Intercooler upgrade for 150hp car = +0 hp"
105,12,21,21,0,0,"LSD differential for 150hp car = +0 hp"
106,1,22,22,20,35,"Stage 1 ECU for 190hp car = +20 hp"
107,3,22,22,8,12,"Catback exhaust for 190hp car = +8 hp"
108,5,22,22,5,8,"Cold air intake for 190hp car = +5 hp"
109,7,22,22,8,12,"Intercooler upgrade for 190hp car = +8 hp"
110,12,22,22,0,0,"LSD differential for 190hp car = +0 hp"
111,1,23,23,20,35,"Stage 1 ECU for 190hp car = +20 hp"
112,3,23,23,8,12,"Catback exhaust for 190hp car = +8 hp"
113,5,23,23,5,8,"Cold air intake for 190hp car = +5 hp"
114,7,23,23,8,12,"Intercooler upgrade for 190hp car = +8 hp"
115,12,23,23,0,0,"LSD differential for 190hp car = +0 hp"
116,1,24,24,20,35,"Stage 1 ECU for 190hp car = +20 hp"
117,3,24,24,8,12,"Catback exhaust for 190hp car = +8 hp"
118,5,24,24,5,8,"Cold air intake for 190hp car = +5 hp"
119,7,24,24,8,12,"Intercooler upgrade for 190hp car = +8 hp"
120,12,24,24,0,0,"LSD differential for 190hp car = +0 hp"
121,1,25,25,20,35,"Stage 1 ECU for 190hp car = +20 hp"
122,3,25,25,8,12,"Catback exhaust for 190hp car = +8 hp"
123,5,25,25,5,8,"Cold air intake for 190hp car = +5 hp"
124,7,25,25,8,12,"Intercooler upgrade for 190hp car = +8 hp"
125,12,25,25,0,0,"LSD differential for 190hp car = +0 hp"
126,1,26,26,20,35,"Stage 1 ECU for 190hp car = +20 hp"
127,3,26,26,8,12,"Catback exhaust for 190hp car = +8 hp"
128,5,26,26,5,8,"Cold air intake for 190hp car = +5 hp"
129,7,26,26,8,12,"Intercooler upgrade for 190hp car = +8 hp"
130,12,26,26,0,0,"LSD differential for 190hp car = +0 hp"
131,1,27,27,20,35,"Stage 1 ECU for 190hp car = +20 hp"
132,3,27,27,8,12,"Catback exhaust for 190hp car = +8 hp"
133,5,27,27,5,8,"Cold air intake for 190hp car = +5 hp"
134,7,27,27,8,12,"Intercooler upgrade for 190hp car = +8 hp"
135,12,27,27,0,0,"LSD differential for 190hp car = +0 hp"
136,1,28,28,30,50,"Stage 1 ECU for 286hp car = +30 hp"
137,3,28,28,12,18,"Catback exhaust for 286hp car = +12 hp"
138,5,28,28,7,12,"Cold air intake for 286hp car = +7 hp"
139,7,28,28,12,18,"Intercooler upgrade for 286hp car = +12 hp"
140,12,28,28,0,0,"LSD differential for 286hp car = +0 hp"
141,1,29,29,30,50,"Stage 1 ECU for 286hp car = +30 hp"
142,3,29,29,12,18,"Catback exhaust for 286hp car = +12 hp"
143,5,29,29,7,12,"Cold air intake for 286hp car = +7 hp"
144,7,29,29,12,18,"Intercooler upgrade for 286hp car = +12 hp"
145,12,29,29,0,0,"LSD differential for 286hp car = +0 hp"
146,1,30,30,30,50,"Stage 1 ECU for 286hp car = +30 hp"
147,3,30,30,12,18,"Catback exhaust for 286hp car = +12 hp"
148,5,30,30,7,12,"Cold air intake for 286hp car = +7 hp"
149,7,30,30,12,18,"Intercooler upgrade for 286hp car = +12 hp"
150,12,30,30,0,0,"LSD differential for 286hp car = +0 hp"
151,1,31,31,15,25,"Stage 1 ECU for 156hp car = +15 hp"
152,3,31,31,6,10,"Catback exhaust for 156hp car = +6 hp"
153,5,31,31,4,6,"Cold air intake for 156hp car = +4 hp"
154,7,31,31,0,0,"Intercooler upgrade for 156hp car = +0 hp"
155,12,31,31,0,0,"LSD differential for 156hp car = +0 hp"
156,1,32,32,15,25,"Stage 1 ECU for 156hp car = +15 hp"
157,3,32,32,6,10,"Catback exhaust for 156hp car = +6 hp"
158,5,32,32,4,6,"Cold air intake for 156hp car = +4 hp"
159,7,32,32,0,0,"Intercooler upgrade for 156hp car = +0 hp"
160,12,32,32,0,0,"LSD differential for 156hp car = +0 hp"
161,1,33,33,15,25,"Stage 1 ECU for 156hp car = +15 hp"
162,3,33,33,6,10,"Catback exhaust for 156hp car = +6 hp"
163,5,33,33,4,6,"Cold air intake for 156hp car = +4 hp"
164,7,33,33,0,0,"Intercooler upgrade for 156hp car = +0 hp"
165,12,33,33,0,0,"LSD differential for 156hp car = +0 hp"
166,1,34,34,20,35,"Stage 1 ECU for 184hp car = +20 hp"
167,3,34,34,8,12,"Catback exhaust for 184hp car = +8 hp"
168,5,34,34,5,8,"Cold air intake for 184hp car = +5 hp"
169,7,34,34,8,12,"Intercooler upgrade for 184hp car = +8 hp"
170,12,34,34,0,0,"LSD differential for 184hp car = +0 hp"
171,1,35,35,20,35,"Stage 1 ECU for 184hp car = +20 hp"
172,3,35,35,8,12,"Catback exhaust for 184hp car = +8 hp"
173,5,35,35,5,8,"Cold air intake for 184hp car = +5 hp"
174,7,35,35,8,12,"Intercooler upgrade for 184hp car = +8 hp"
175,12,35,35,0,0,"LSD differential for 184hp car = +0 hp"
176,1,36,36,20,35,"Stage 1 ECU for 184hp car = +20 hp"
177,3,36,36,8,12,"Catback exhaust for 184hp car = +8 hp"
178,5,36,36,5,8,"Cold air intake for 184hp car = +5 hp"
179,7,36,36,8,12,"Intercooler upgrade for 184hp car = +8 hp"
180,12,36,36,0,0,"LSD differential for 184hp car = +0 hp"
181,1,37,37,20,35,"Stage 1 ECU for 184hp car = +20 hp"
182,3,37,37,8,12,"Catback exhaust for 184hp car = +8 hp"
183,5,37,37,5,8,"Cold air intake for 184hp car = +5 hp"
184,7,37,37,8,12,"Intercooler upgrade for 184hp car = +8 hp"
185,12,37,37,0,0,"LSD differential for 184hp car = +0 hp"
186,1,38,38,20,35,"Stage 1 ECU for 184hp car = +20 hp"
187,3,38,38,8,12,"Catback exhaust for 184hp car = +8 hp"
188,5,38,38,5,8,"Cold air intake for 184hp car = +5 hp"
189,7,38,38,8,12,"Intercooler upgrade for 184hp car = +8 hp"
190,12,38,38,0,0,"LSD differential for 184hp car = +0 hp"
191,1,39,39,20,35,"Stage 1 ECU for 184hp car = +20 hp"
192,3,39,39,8,12,"Catback exhaust for 184hp car = +8 hp"
193,5,39,39,5,8,"Cold air intake for 184hp car = +5 hp"
194,7,39,39,8,12,"Intercooler upgrade for 184hp car = +8 hp"
195,12,39,39,0,0,"LSD differential for 184hp car = +0 hp"
196,1,40,40,25,40,"Stage 1 ECU for 245hp car = +25 hp"
197,3,40,40,10,15,"Catback exhaust for 245hp car = +10 hp"
198,5,40,40,6,10,"Cold air intake for 245hp car = +6 hp"
199,7,40,40,10,15,"Intercooler upgrade for 245hp car = +10 hp"
200,12,40,40,0,0,"LSD differential for 245hp car = +0 hp"
201,1,41,41,25,40,"Stage 1 ECU for 245hp car = +25 hp"
202,3,41,41,10,15,"Catback exhaust for 245hp car = +10 hp"
203,5,41,41,6,10,"Cold air intake for 245hp car = +6 hp"
204,7,41,41,10,15,"Intercooler upgrade for 245hp car = +10 hp"
205,12,41,41,0,0,"LSD differential for 245hp car = +0 hp"
206,1,42,42,25,40,"Stage 1 ECU for 245hp car = +25 hp"
207,3,42,42,10,15,"Catback exhaust for 245hp car = +10 hp"
208,5,42,42,6,10,"Cold air intake for 245hp car = +6 hp"
209,7,42,42,10,15,"Intercooler upgrade for 245hp car = +10 hp"
210,12,42,42,0,0,"LSD differential for 245hp car = +0 hp"
211,1,43,43,30,50,"Stage 1 ECU for 286hp car = +30 hp"
212,3,43,43,12,18,"Catback exhaust for 286hp car = +12 hp"
213,5,43,43,7,12,"Cold air intake for 286hp car = +7 hp"
214,7,43,43,12,18,"Intercooler upgrade for 286hp car = +12 hp"
215,12,43,43,0,0,"LSD differential for 286hp car = +0 hp"
216,1,44,44,30,50,"Stage 1 ECU for 286hp car = +30 hp"
217,3,44,44,12,18,"Catback exhaust for 286hp car = +12 hp"
218,5,44,44,7,12,"Cold air intake for 286hp car = +7 hp"
219,7,44,44,12,18,"Intercooler upgrade for 286hp car = +12 hp"
220,12,44,44,0,0,"LSD differential for 286hp car = +0 hp"
221,1,45,45,30,50,"Stage 1 ECU for 286hp car = +30 hp"
222,3,45,45,12,18,"Catback exhaust for 286hp car = +12 hp"
223,5,45,45,7,12,"Cold air intake for 286hp car = +7 hp"
224,7,45,45,12,18,"Intercooler upgrade for 286hp car = +12 hp"
225,12,45,45,0,0,"LSD differential for 286hp car = +0 hp"
226,1,46,46,40,70,"Stage 1 ECU for 374hp car = +40 hp"
227,3,46,46,18,25,"Catback exhaust for 374hp car = +18 hp"
228,5,46,46,10,16,"Cold air intake for 374hp car = +10 hp"
229,7,46,46,18,30,"Intercooler upgrade for 374hp car = +18 hp"
230,12,46,46,0,0,"LSD differential for 374hp car = +0 hp"
231,1,47,47,35,60,"Stage 1 ECU for 340hp car = +35 hp"
232,3,47,47,15,22,"Catback exhaust for 340hp car = +15 hp"
233,5,47,47,8,14,"Cold air intake for 340hp car = +8 hp"
234,7,47,47,15,25,"Intercooler upgrade for 340hp car = +15 hp"
235,12,47,47,0,0,"LSD differential for 340hp car = +0 hp"
236,1,48,48,50,80,"Stage 1 ECU for 480hp car = +50 hp"
237,3,48,48,20,30,"Catback exhaust for 480hp car = +20 hp"
238,5,48,48,12,18,"Cold air intake for 480hp car = +12 hp"
239,7,48,48,20,35,"Intercooler upgrade for 480hp car = +20 hp"
240,12,48,48,0,0,"LSD differential for 480hp car = +0 hp"
241,1,49,49,60,90,"Stage 1 ECU for 510hp car = +60 hp"
242,3,49,49,25,35,"Catback exhaust for 510hp car = +25 hp"
243,5,49,49,15,22,"Cold air intake for 510hp car = +15 hp"
244,7,49,49,25,40,"Intercooler upgrade for 510hp car = +25 hp"
245,12,49,49,0,0,"LSD differential for 510hp car = +0 hp"
246,1,50,50,70,100,"Stage 1 ECU for 530hp car = +70 hp"
247,3,50,50,30,40,"Catback exhaust for 530hp car = +30 hp"
248,5,50,50,18,25,"Cold air intake for 530hp car = +18 hp"
249,7,50,50,30,45,"Intercooler upgrade for 530hp car = +30 hp"
250,12,50,50,0,0,"LSD differential for 530hp car = +0 hp"
251,1,51,51,50,80,"Stage 1 ECU for 480hp car = +50 hp"
252,3,51,51,20,30,"Catback exhaust for 480hp car = +20 hp"
253,5,51,51,12,18,"Cold air intake for 480hp car = +12 hp"
254,7,51,51,20,35,"Intercooler upgrade for 480hp car = +20 hp"
255,12,51,51,0,0,"LSD differential for 480hp car = +0 hp"
256,1,52,52,60,90,"Stage 1 ECU for 510hp car = +60 hp"
257,3,52,52,25,35,"Catback exhaust for 510hp car = +25 hp"
258,5,52,52,15,22,"Cold air intake for 510hp car = +15 hp"
259,7,52,52,25,40,"Intercooler upgrade for 510hp car = +25 hp"
260,12,52,52,0,0,"LSD differential for 510hp car = +0 hp"
261,1,53,53,70,100,"Stage 1 ECU for 530hp car = +70 hp"
262,3,53,53,30,40,"Catback exhaust for 530hp car = +30 hp"
263,5,53,53,18,25,"Cold air intake for 530hp car = +18 hp"
264,7,53,53,30,45,"Intercooler upgrade for 530hp car = +30 hp"
265,12,53,53,0,0,"LSD differential for 530hp car = +0 hp"
266,1,54,54,15,25,"Stage 1 ECU for 156hp car = +15 hp"
267,3,54,54,6,10,"Catback exhaust for 156hp car = +6 hp"
268,5,54,54,4,6,"Cold air intake for 156hp car = +4 hp"
269,7,54,54,0,0,"Intercooler upgrade for 156hp car = +0 hp"
270,12,54,54,0,0,"LSD differential for 156hp car = +0 hp"
271,1,55,55,15,25,"Stage 1 ECU for 156hp car = +15 hp"
272,3,55,55,6,10,"Catback exhaust for 156hp car = +6 hp"
273,5,55,55,4,6,"Cold air intake for 156hp car = +4 hp"
274,7,55,55,0,0,"Intercooler upgrade for 156hp car = +0 hp"
275,12,55,55,0,0,"LSD differential for 156hp car = +0 hp"
276,1,56,56,15,25,"Stage 1 ECU for 156hp car = +15 hp"
277,3,56,56,6,10,"Catback exhaust for 156hp car = +6 hp"
278,5,56,56,4,6,"Cold air intake for 156hp car = +4 hp"
279,7,56,56,0,0,"Intercooler upgrade for 156hp car = +0 hp"
280,12,56,56,0,0,"LSD differential for 156hp car = +0 hp"
281,1,57,57,20,35,"Stage 1 ECU for 184hp car = +20 hp"
282,3,57,57,8,12,"Catback exhaust for 184hp car = +8 hp"
283,5,57,57,5,8,"Cold air intake for 184hp car = +5 hp"
284,7,57,57,8,12,"Intercooler upgrade for 184hp car = +8 hp"
285,12,57,57,0,0,"LSD differential for 184hp car = +0 hp"
286,1,58,58,20,35,"Stage 1 ECU for 184hp car = +20 hp"
287,3,58,58,8,12,"Catback exhaust for 184hp car = +8 hp"
288,5,58,58,5,8,"Cold air intake for 184hp car = +5 hp"
289,7,58,58,8,12,"Intercooler upgrade for 184hp car = +8 hp"
290,12,58,58,0,0,"LSD differential for 184hp car = +0 hp"
291,1,59,59,20,35,"Stage 1 ECU for 184hp car = +20 hp"
292,3,59,59,8,12,"Catback exhaust for 184hp car = +8 hp"
293,5,59,59,5,8,"Cold air intake for 184hp car = +5 hp"
294,7,59,59,8,12,"Intercooler upgrade for 184hp car = +8 hp"
295,12,59,59,0,0,"LSD differential for 184hp car = +0 hp"
296,1,60,60,25,40,"Stage 1 ECU for 245hp car = +25 hp"
297,3,60,60,10,15,"Catback exhaust for 245hp car = +10 hp"
298,5,60,60,6,10,"Cold air intake for 245hp car = +6 hp"
299,7,60,60,10,15,"Intercooler upgrade for 245hp car = +10 hp"
300,12,60,60,0,0,"LSD differential for 245hp car = +0 hp"
301,1,61,61,25,40,"Stage 1 ECU for 245hp car = +25 hp"
302,3,61,61,10,15,"Catback exhaust for 245hp car = +10 hp"
303,5,61,61,6,10,"Cold air intake for 245hp car = +6 hp"
304,7,61,61,10,15,"Intercooler upgrade for 245hp car = +10 hp"
305,12,61,61,0,0,"LSD differential for 245hp car = +0 hp"
306,1,62,62,25,40,"Stage 1 ECU for 245hp car = +25 hp"
307,3,62,62,10,15,"Catback exhaust for 245hp car = +10 hp"
308,5,62,62,6,10,"Cold air intake for 245hp car = +6 hp"
309,7,62,62,10,15,"Intercooler upgrade for 245hp car = +10 hp"
310,12,62,62,0,0,"LSD differential for 245hp car = +0 hp"
311,1,63,63,30,50,"Stage 1 ECU for 292hp car = +30 hp"
312,3,63,63,12,18,"Catback exhaust for 292hp car = +12 hp"
313,5,63,63,7,12,"Cold air intake for 292hp car = +7 hp"
314,7,63,63,12,18,"Intercooler upgrade for 292hp car = +12 hp"
315,12,63,63,0,0,"LSD differential for 292hp car = +0 hp"
316,1,64,64,30,50,"Stage 1 ECU for 292hp car = +30 hp"
317,3,64,64,12,18,"Catback exhaust for 292hp car = +12 hp"
318,5,64,64,7,12,"Cold air intake for 292hp car = +7 hp"
319,7,64,64,12,18,"Intercooler upgrade for 292hp car = +12 hp"
320,12,64,64,0,0,"LSD differential for 292hp car = +0 hp"
321,1,65,65,30,50,"Stage 1 ECU for 292hp car = +30 hp"
322,3,65,65,12,18,"Catback exhaust for 292hp car = +12 hp"
323,5,65,65,7,12,"Cold air intake for 292hp car = +7 hp"
324,7,65,65,12,18,"Intercooler upgrade for 292hp car = +12 hp"
325,12,65,65,0,0,"LSD differential for 292hp car = +0 hp"
326,1,66,66,30,50,"Stage 1 ECU for 292hp car = +30 hp"
327,3,66,66,12,18,"Catback exhaust for 292hp car = +12 hp"
328,5,66,66,7,12,"Cold air intake for 292hp car = +7 hp"
329,7,66,66,12,18,"Intercooler upgrade for 292hp car = +12 hp"
330,12,66,66,0,0,"LSD differential for 292hp car = +0 hp"
331,1,67,67,30,50,"Stage 1 ECU for 292hp car = +30 hp"
332,3,67,67,12,18,"Catback exhaust for 292hp car = +12 hp"
333,5,67,67,7,12,"Cold air intake for 292hp car = +7 hp"
334,7,67,67,12,18,"Intercooler upgrade for 292hp car = +12 hp"
335,12,67,67,0,0,"LSD differential for 292hp car = +0 hp"
336,1,68,68,30,50,"Stage 1 ECU for 292hp car = +30 hp"
337,3,68,68,12,18,"Catback exhaust for 292hp car = +12 hp"
338,5,68,68,7,12,"Cold air intake for 292hp car = +7 hp"
339,7,68,68,12,18,"Intercooler upgrade for 292hp car = +12 hp"
340,12,68,68,0,0,"LSD differential for 292hp car = +0 hp"
341,1,69,69,15,25,"Stage 1 ECU for 150hp car = +15 hp"
342,3,69,69,6,10,"Catback exhaust for 150hp car = +6 hp"
343,5,69,69,4,6,"Cold air intake for 150hp car = +4 hp"
344,7,69,69,0,0,"Intercooler upgrade for 150hp car = +0 hp"
345,12,69,69,0,0,"LSD differential for 150hp car = +0 hp"
346,1,70,70,15,25,"Stage 1 ECU for 150hp car = +15 hp"
347,3,70,70,6,10,"Catback exhaust for 150hp car = +6 hp"
348,5,70,70,4,6,"Cold air intake for 150hp car = +4 hp"
349,7,70,70,0,0,"Intercooler upgrade for 150hp car = +0 hp"
350,12,70,70,0,0,"LSD differential for 150hp car = +0 hp"
351,1,71,71,15,25,"Stage 1 ECU for 150hp car = +15 hp"
352,3,71,71,6,10,"Catback exhaust for 150hp car = +6 hp"
353,5,71,71,4,6,"Cold air intake for 150hp car = +4 hp"
354,7,71,71,0,0,"Intercooler upgrade for 150hp car = +0 hp"
355,12,71,71,0,0,"LSD differential for 150hp car = +0 hp"
356,1,72,72,20,35,"Stage 1 ECU for 190hp car = +20 hp"
357,3,72,72,8,12,"Catback exhaust for 190hp car = +8 hp"
358,5,72,72,5,8,"Cold air intake for 190hp car = +5 hp"
359,7,72,72,8,12,"Intercooler upgrade for 190hp car = +8 hp"
360,12,72,72,0,0,"LSD differential for 190hp car = +0 hp"
361,1,73,73,20,35,"Stage 1 ECU for 190hp car = +20 hp"
362,3,73,73,8,12,"Catback exhaust for 190hp car = +8 hp"
363,5,73,73,5,8,"Cold air intake for 190hp car = +5 hp"
364,7,73,73,8,12,"Intercooler upgrade for 190hp car = +8 hp"
365,12,73,73,0,0,"LSD differential for 190hp car = +0 hp"
366,1,74,74,20,35,"Stage 1 ECU for 190hp car = +20 hp"
367,3,74,74,8,12,"Catback exhaust for 190hp car = +8 hp"
368,5,74,74,5,8,"Cold air intake for 190hp car = +5 hp"
369,7,74,74,8,12,"Intercooler upgrade for 190hp car = +8 hp"
370,12,74,74,0,0,"LSD differential for 190hp car = +0 hp"
371,1,75,75,20,35,"Stage 1 ECU for 190hp car = +20 hp"
372,3,75,75,8,12,"Catback exhaust for 190hp car = +8 hp"
373,5,75,75,5,8,"Cold air intake for 190hp car = +5 hp"
374,7,75,75,8,12,"Intercooler upgrade for 190hp car = +8 hp"
375,12,75,75,0,0,"LSD differential for 190hp car = +0 hp"
376,1,76,76,20,35,"Stage 1 ECU for 190hp car = +20 hp"
377,3,76,76,8,12,"Catback exhaust for 190hp car = +8 hp"
378,5,76,76,5,8,"Cold air intake for 190hp car = +5 hp"
379,7,76,76,8,12,"Intercooler upgrade for 190hp car = +8 hp"
380,12,76,76,0,0,"LSD differential for 190hp car = +0 hp"
381,1,77,77,20,35,"Stage 1 ECU for 190hp car = +20 hp"
382,3,77,77,8,12,"Catback exhaust for 190hp car = +8 hp"
383,5,77,77,5,8,"Cold air intake for 190hp car = +5 hp"
384,7,77,77,8,12,"Intercooler upgrade for 190hp car = +8 hp"
385,12,77,77,0,0,"LSD differential for 190hp car = +0 hp"
386,1,78,78,30,50,"Stage 1 ECU for 286hp car = +30 hp"
387,3,78,78,12,18,"Catback exhaust for 286hp car = +12 hp"
388,5,78,78,7,12,"Cold air intake for 286hp car = +7 hp"
389,7,78,78,12,18,"Intercooler upgrade for 286hp car = +12 hp"
390,12,78,78,0,0,"LSD differential for 286hp car = +0 hp"
391,1,79,79,30,50,"Stage 1 ECU for 286hp car = +30 hp"
392,3,79,79,12,18,"Catback exhaust for 286hp car = +12 hp"
393,5,79,79,7,12,"Cold air intake for 286hp car = +7 hp"
394,7,79,79,12,18,"Intercooler upgrade for 286hp car = +12 hp"
395,12,79,79,0,0,"LSD differential for 286hp car = +0 hp"
396,1,80,80,30,50,"Stage 1 ECU for 286hp car = +30 hp"
397,3,80,80,12,18,"Catback exhaust for 286hp car = +12 hp"
398,5,80,80,7,12,"Cold air intake for 286hp car = +7 hp"
399,7,80,80,12,18,"Intercooler upgrade for 286hp car = +12 hp"
400,12,80,80,0,0,"LSD differential for 286hp car = +0 hp"
401,1,81,81,15,25,"Stage 1 ECU for 156hp car = +15 hp"
402,3,81,81,6,10,"Catback exhaust for 156hp car = +6 hp"
403,5,81,81,4,6,"Cold air intake for 156hp car = +4 hp"
404,7,81,81,0,0,"Intercooler upgrade for 156hp car = +0 hp"
405,12,81,81,0,0,"LSD differential for 156hp car = +0 hp"
406,1,82,82,15,25,"Stage 1 ECU for 156hp car = +15 hp"
407,3,82,82,6,10,"Catback exhaust for 156hp car = +6 hp"
