id,car_id,engine_id,power_hp,torque_nm,Accel_0-100,top_speed
87,87,87,245,400,"6,0 ",250
88,88,88,245,400,"6,0 ",250
89,89,89,245,400,"6,0 ",250
90,90,90,286,650,"5,2 ",250
91,91,91,286,650,"5,2 ",250
92,92,92,286,650,"5,2 ",250
93,93,93,374,500,"4,6 ",250
94,94,94,340,700,"4,7 ",250
95,95,95,530,650,"3,6 ",250
96,96,96,530,650,"3,6 ",250
97,97,97,550,650,"3,5 ",300
98,98,98,550,650,"3,5 ",300
99,99,99,156,250,"8,6 ",223
100,100,100,156,250,"8,6 ",223
101,101,101,156,250,"8,6 ",223
102,102,102,156,250,"8,6 ",223
103,103,103,184,300,"7,4 ",235
104,104,104,184,300,"7,4 ",235
105,105,105,184,300,"7,7 ",230
106,106,106,184,300,"7,7 ",230
107,107,107,184,300,"7,4 ",235
108,108,108,184,300,"7,4 ",235
109,109,109,184,300,"7,7 ",230
110,110,110,184,300,"7,7 ",230
111,111,111,204,350,"7,6 ",225
112,112,112,204,350,"7,6 ",225
113,113,113,204,350,"7,6 ",225
114,114,114,204,350,"7,6 ",225
115,115,115,245,400,"5,9 ",250
116,116,116,245,400,"5,9 ",250
117,117,117,245,400,"5,7 ",250
118,118,118,245,400,"5,7 ",250
119,119,119,245,400,"5,9 ",250
120,120,120,245,400,"5,9 ",250
121,121,121,245,400,"5,7 ",250
122,122,122,245,400,"5,7 ",250
123,123,123,292,420,"5,8 ",230
124,124,124,292,420,"5,8 ",230
125,125,125,292,420,"5,8 ",230
126,126,126,292,420,"5,8 ",230
127,127,127,292,420,"5,8 ",230
128,128,128,292,420,"5,8 ",230
129,129,129,292,420,"5,8 ",230
130,130,130,292,420,"5,8 ",230
131,131,131,150,320,"8,3 ",218
132,132,132,150,320,"8,3 ",218
133,133,133,150,320,"8,3 ",218
134,134,134,150,320,"8,3 ",218
135,135,135,190,400,"6,9 ",235
136,136,136,190,400,"6,9 ",235
137,137,137,190,400,"7,2 ",228
138,138,138,190,400,"7,2 ",228
139,139,139,190,400,"6,9 ",235
140,140,140,190,400,"6,9 ",235
141,141,141,190,400,"7,2 ",228
142,142,142,190,400,"7,2 ",228
143,143,143,286,650,"5,3 ",250
144,144,144,286,650,"5,0 ",250
145,145,145,286,650,"5,3 ",250
146,146,146,286,650,"5,0 ",250
147,147,147,374,500,"4,4 ",250
148,148,148,374,500,"4,4 ",250
149,149,149,340,700,"4,6 ",250
150,150,150,480,500,"4,2 ",250
151,151,151,510,650,"3,9 ",250
152,152,152,510,650,"3,5 ",250
153,153,153,550,650,"3,4 ",302
154,154,154,156,250,"8,8 ",218
155,155,155,156,250,"8,8 ",218
156,156,156,156,250,"8,8 ",218
157,157,157,156,250,"8,8 ",218
158,158,158,184,300,"7,6 ",230
159,159,159,184,300,"7,6 ",230
160,160,160,184,300,"7,6 ",230
161,161,161,184,300,"7,6 ",230
162,162,162,204,350,"7,9 ",220
163,163,163,204,350,"7,9 ",220
164,164,164,204,350,"8,2 ",219
165,165,165,204,350,"8,2 ",219
166,166,166,204,350,"7,9 ",220
167,167,167,204,350,"7,9 ",220
168,168,168,204,350,"8,2 ",219
169,169,169,204,350,"8,2 ",219
170,170,170,245,400,"6,1 ",250
171,171,171,245,400,"6,1 ",250
172,172,172,245,400,"6,0 ",250
173,173,173,245,400,"6,0 ",250
174,174,174,245,400,"6,1 ",250
175,175,175,245,400,"6,1 ",250
176,176,176,245,400,"6,0 ",250
177,177,177,245,400,"6,0 ",250
178,178,178,292,420,"5,9 ",230
179,179,179,292,420,"5,9 ",230
180,180,180,292,420,"5,9 ",225
181,181,181,292,420,"5,9 ",225
182,182,182,292,420,"5,9 ",230
183,183,183,292,420,"5,9 ",230
184,184,184,292,420,"5,9 ",225
185,185,185,292,420,"5,9 ",225
186,186,186,150,320,"8,8 ",213
187,187,187,150,320,"8,8 ",213
188,188,188,150,320,"8,8 ",213
189,189,189,150,320,"8,8 ",213
190,190,190,190,400,"7,2 ",229
191,191,191,190,400,"7,2 ",229
192,192,192,190,400,"7,5 ",225
193,193,193,190,400,"7,5 ",225
194,194,194,190,400,"7,2 ",229
195,195,195,190,400,"7,2 ",229
196,196,196,190,400,"7,5 ",225
197,197,197,190,400,"7,5 ",225
198,198,198,286,650,"5,5 ",250
199,199,199,286,650,"5,2 ",250
200,200,200,286,650,"5,5 ",250
201,201,201,286,650,"5,2 ",250
202,202,202,374,500,"4,6 ",250
203,203,203,374,500,"4,6 ",250
204,204,204,340,700,"4,7 ",250
205,205,205,510,650,"3,6 ",250
206,206,206,156,250,"8,4 ",223
207,207,207,156,250,"8,4 ",223
208,208,208,156,250,"8,4 ",223
209,209,209,156,250,"8,4 ",223
210,210,210,156,250,"8,4 ",223
211,211,211,184,300,"7,1 ",240
212,212,212,184,300,"7,1 ",235
213,213,213,184,300,"7,1 ",235
214,214,214,184,300,"7,6 ",230
215,215,215,184,300,"7,6 ",230
216,216,216,184,300,"7,1 ",240
217,217,217,184,300,"7,1 ",235
218,218,218,184,300,"7,1 ",235
219,219,219,184,300,"7,6 ",230
220,220,220,184,300,"7,6 ",230
221,221,221,184,300,"7,1 ",240
222,222,222,184,300,"7,1 ",235
223,223,223,184,300,"7,1 ",235
224,224,224,184,300,"7,6 ",230
225,225,225,184,300,"7,6 ",230
226,226,226,184,300,"7,1 ",240
227,227,227,184,300,"7,1 ",235
228,228,228,184,300,"7,1 ",235
229,229,229,184,300,"7,6 ",230
230,230,230,184,300,"7,6 ",230
231,231,231,184,300,"7,1 ",240
232,232,232,184,300,"7,1 ",235
233,233,233,184,300,"7,1 ",235
234,234,234,184,300,"7,6 ",230
235,235,235,184,300,"7,6 ",230
236,236,236,204,350,"7,6 ",225
237,237,237,204,350,"7,6 ",225
238,238,238,204,350,"7,6 ",225
239,239,239,204,350,"7,6 ",225
240,240,240,204,350,"7,6 ",225
241,241,241,258,400,"5,8 ",250
242,242,242,258,400,"5,8 ",250
243,243,243,258,400,"5,9 ",250
244,244,244,258,400,"5,5 ",250
245,245,245,258,400,"5,6 ",250
246,246,246,258,400,"5,8 ",250
247,247,247,258,400,"5,8 ",250
248,248,248,258,400,"5,9 ",250
249,249,249,258,400,"5,5 ",250
250,250,250,258,400,"5,6 ",250
251,251,251,258,400,"5,8 ",250
252,252,252,258,400,"5,8 ",250
253,253,253,258,400,"5,9 ",250
254,254,254,258,400,"5,5 ",250
255,255,255,258,400,"5,6 ",250
256,256,256,258,400,"5,8 ",250
257,257,257,258,400,"5,8 ",250
258,258,258,258,400,"5,9 ",250
259,259,259,258,400,"5,5 ",250
260,260,260,258,400,"5,6 ",250
261,261,261,292,420,"5,9 ",230
262,262,262,292,420,"5,8 ",230
263,263,263,292,420,"5,8 ",230
264,264,264,292,420,"5,9 ",230
265,265,265,292,420,"5,8 ",230
266,266,266,292,420,"5,8 ",230
267,267,267,292,420,"5,9 ",230
268,268,268,292,420,"5,8 ",230
269,269,269,292,420,"5,8 ",230
270,270,270,292,420,"5,9 ",230
271,271,271,292,420,"5,8 ",230
272,272,272,292,420,"5,8 ",230
273,273,273,150,320,"8,4 ",226
274,274,274,150,320,"8,4 ",226
275,275,275,150,320,"8,4 ",226
276,276,276,150,320,"8,3 ",224
277,277,277,150,320,"8,3 ",224
278,278,278,150,320,"8,3 ",224
279,279,279,150,320,"8,2 ",224
280,280,280,150,320,"8,4 ",226
281,281,281,150,320,"8,4 ",226
282,282,282,150,320,"8,4 ",226
283,283,283,150,320,"8,3 ",224
284,284,284,150,320,"8,3 ",224
285,285,285,150,320,"8,3 ",224
286,286,286,150,320,"8,2 ",224
287,287,287,150,320,"8,4 ",226
288,288,288,150,320,"8,4 ",226
289,289,289,150,320,"8,4 ",226
290,290,290,150,320,"8,3 ",224
291,291,291,150,320,"8,3 ",224
292,292,292,150,320,"8,3 ",224
293,293,293,150,320,"8,2 ",224
294,294,294,150,320,"8,4 ",226
295,295,295,150,320,"8,4 ",226
296,296,296,150,320,"8,4 ",226
297,297,297,150,320,"8,3 ",224
298,298,298,150,320,"8,3 ",224
299,299,299,150,320,"8,3 ",224
300,300,300,150,320,"8,2 ",224
301,301,301,150,320,"8,4 ",226
302,302,302,150,320,"8,4 ",226
303,303,303,150,320,"8,4 ",226
304,304,304,150,320,"8,3 ",224
305,305,305,150,320,"8,3 ",224
306,306,306,150,320,"8,3 ",224
307,307,307,150,320,"8,2 ",224
308,308,308,190,400,"7,1 ",240
309,309,309,190,400,"7,1 ",240
310,310,310,190,400,"6,8 ",240
311,311,311,190,400,"6,8 ",240
312,312,312,190,400,"6,8 ",240
313,313,313,190,400,"6,9 ",233
314,314,314,190,400,"6,9 ",233
315,315,315,190,400,"6,8 ",233
316,316,316,190,400,"7,1 ",240
317,317,317,190,400,"7,1 ",240
318,318,318,190,400,"6,8 ",240
319,319,319,190,400,"6,8 ",240
320,320,320,190,400,"6,8 ",240
321,321,321,190,400,"6,9 ",233
322,322,322,190,400,"6,9 ",233
323,323,323,190,400,"6,8 ",233
324,324,324,190,400,"7,1 ",240
325,325,325,190,400,"7,1 ",240
326,326,326,190,400,"6,8 ",240
327,327,327,190,400,"6,8 ",240
328,328,328,190,400,"6,8 ",240
329,329,329,190,400,"6,9 ",233
330,330,330,190,400,"6,9 ",233
331,331,331,190,400,"6,8 ",233
332,332,332,190,400,"7,1 ",240
333,333,333,190,400,"7,1 ",240
334,334,334,190,400,"6,8 ",240
335,335,335,190,400,"6,8 ",240
336,336,336,190,400,"6,8 ",240
337,337,337,190,400,"6,9 ",233
338,338,338,190,400,"6,9 ",233
339,339,339,190,400,"6,8 ",233
340,340,340,190,400,"7,1 ",240
341,341,341,190,400,"7,1 ",240
342,342,342,190,400,"6,8 ",240
343,343,343,190,400,"6,8 ",240
344,344,344,190,400,"6,8 ",240
345,345,345,190,400,"6,9 ",233
346,346,346,190,400,"6,9 ",233
347,347,347,190,400,"6,8 ",233
348,348,348,265,580,"5,5 ",250
349,349,349,265,580,"5,5 ",250
350,350,350,265,580,"5,1 ",250
351,351,351,265,580,"5,5 ",250
352,352,352,265,580,"5,5 ",250
353,353,353,265,580,"5,1 ",250
354,354,354,265,580,"5,5 ",250
355,355,355,265,580,"5,5 ",250
356,356,356,265,580,"5,1 ",250
357,357,357,265,580,"5,5 ",250
358,358,358,265,580,"5,5 ",250
359,359,359,265,580,"5,1 ",250
360,360,360,286,650,"5,3 ",250
361,361,361,286,650,"5,0 ",250
362,362,362,286,650,"5,3 ",250
363,363,363,286,650,"5,0 ",250
364,364,364,286,650,"5,3 ",250
365,365,365,286,650,"5,0 ",250
366,366,366,286,650,"5,3 ",250
367,367,367,286,650,"5,0 ",250
368,368,368,374,500,"4,4 ",250
369,369,369,374,500,"4,4 ",250
370,370,370,340,700,"4,6 ",250
371,371,371,480,500,"4,2 ",250
372,372,372,510,650,"3,9 ",250
373,373,373,510,650,"3,5 ",250
374,374,374,156,250,"8,7 ",220
375,375,375,156,250,"8,7 ",220
376,376,376,156,250,"8,7 ",220
377,377,377,156,250,"8,7 ",220
378,378,378,156,250,"8,7 ",220
379,379,379,184,300,"7,5 ",230
380,380,380,184,300,"7,5 ",230
381,381,381,184,300,"7,5 ",230
382,382,382,184,300,"7,5 ",230
383,383,383,184,300,"7,5 ",230
384,384,384,184,300,"7,5 ",230
385,385,385,184,300,"7,5 ",230
386,386,386,184,300,"7,5 ",230
387,387,387,184,300,"7,5 ",230
388,388,388,184,300,"7,5 ",230
389,389,389,204,350,"7,9 ",220
390,390,390,204,350,"8,2 ",219
391,391,391,204,350,"7,9 ",220
392,392,392,204,350,"8,2 ",219
393,393,393,204,350,"7,9 ",220
394,394,394,204,350,"8,2 ",219
395,395,395,204,350,"7,9 ",220
396,396,396,204,350,"8,2 ",219
397,397,397,204,350,"7,9 ",220
398,398,398,204,350,"8,2 ",219
399,399,399,258,400,"5,9 ",250
400,400,400,258,400,"6,0 ",250
401,401,401,258,400,"5,8 ",250
402,402,402,258,400,"5,9 ",250
403,403,403,258,400,"5,9 ",250
404,404,404,258,400,"6,0 ",250
405,405,405,258,400,"5,8 ",250
406,406,406,258,400,"5,9 ",250
407,407,407,258,400,"5,9 ",250
408,408,408,258,400,"6,0 ",250
409,409,409,258,400,"5,8 ",250
410,410,410,258,400,"5,9 ",250
411,411,411,258,400,"5,9 ",250
412,412,412,258,400,"6,0 ",250
413,413,413,258,400,"5,8 ",250
414,414,414,258,400,"5,9 ",250
415,415,415,292,420,"5,9 ",230
416,416,416,292,420,"5,9 ",225
417,417,417,292,420,"5,9 ",230
418,418,418,292,420,"5,9 ",225
419,419,419,292,420,"5,9 ",230
420,420,420,292,420,"5,9 ",225
421,421,421,292,420,"5,9 ",230
422,422,422,292,420,"5,9 ",225
423,423,423,150,320,"8,9 ",217
424,424,424,150,320,"8,9 ",217
425,425,425,150,320,"8,8 ",215
426,426,426,150,320,"8,8 ",215
427,427,427,150,320,"8,7 ",215
428,428,428,150,320,"8,9 ",217
429,429,429,150,320,"8,9 ",217
430,430,430,150,320,"8,8 ",215
431,431,431,150,320,"8,8 ",215
432,432,432,150,320,"8,7 ",215
433,433,433,150,320,"8,9 ",217
434,434,434,150,320,"8,9 ",217
435,435,435,150,320,"8,8 ",215
436,436,436,150,320,"8,8 ",215
437,437,437,150,320,"8,7 ",215
438,438,438,150,320,"8,9 ",217
439,439,439,150,320,"8,9 ",217
440,440,440,150,320,"8,8 ",215
441,441,441,150,320,"8,8 ",215
442,442,442,150,320,"8,7 ",215
443,443,443,150,320,"8,9 ",217
444,444,444,150,320,"8,9 ",217
445,445,445,150,320,"8,8 ",215
446,446,446,150,320,"8,8 ",215
447,447,447,150,320,"8,7 ",215
448,448,448,190,400,"7,5 ",229
449,449,449,190,400,"7,1 ",230
450,450,450,190,400,"7,1 ",230
451,451,451,190,400,"7,4 ",225
452,452,452,190,400,"7,4 ",225
453,453,453,190,400,"7,5 ",229
454,454,454,190,400,"7,1 ",230
455,455,455,190,400,"7,1 ",230
456,456,456,190,400,"7,4 ",225
457,457,457,190,400,"7,4 ",225
458,458,458,190,400,"7,5 ",229
459,459,459,190,400,"7,1 ",230
460,460,460,190,400,"7,1 ",230
461,461,461,190,400,"7,4 ",225
462,462,462,190,400,"7,4 ",225
463,463,463,190,400,"7,5 ",229
464,464,464,190,400,"7,1 ",230
465,465,465,190,400,"7,1 ",230
466,466,466,190,400,"7,4 ",225
467,467,467,190,400,"7,4 ",225
468,468,468,190,400,"7,5 ",229
469,469,469,190,400,"7,1 ",230
470,470,470,190,400,"7,1 ",230
471,471,471,190,400,"7,4 ",225
472,472,472,190,400,"7,4 ",225
473,473,473,265,580,"5,6 ",250
474,474,474,265,580,"5,4 ",250
475,475,475,265,580,"5,6 ",250
476,476,476,265,580,"5,4 ",250
477,477,477,265,580,"5,6 ",250
478,478,478,265,580,"5,4 ",250
479,479,479,265,580,"5,6 ",250
480,480,480,265,580,"5,4 ",250
481,481,481,286,650,"5,5 ",250
482,482,482,286,650,"5,2 ",250
483,483,483,286,650,"5,5 ",250
484,484,484,286,650,"5,2 ",250
485,485,485,286,650,"5,5 ",250
486,486,486,286,650,"5,2 ",250
487,487,487,286,650,"5,5 ",250
488,488,488,286,650,"5,2 ",250
489,489,489,374,500,"4,5 ",250
490,490,490,374,500,"4,5 ",250
491,491,491,340,700,"4,8 ",250
492,492,492,136,220,"8,9 ",210
493,493,493,136,220,"8,9 ",210
494,494,494,136,220,"9,1 ",210
495,495,495,136,220,"9,1 ",210
496,496,496,136,220,"8,9 ",210
497,497,497,136,220,"8,9 ",210
498,498,498,136,220,"9,1 ",210
499,499,499,136,220,"9,1 ",210
500,500,500,136,220,"8,9 ",210
501,501,501,136,220,"8,9 ",210
502,502,502,136,220,"9,1 ",210
503,503,503,136,220,"9,1 ",210
504,504,504,136,220,"8,9 ",210
505,505,505,136,220,"8,9 ",210
506,506,506,136,220,"9,1 ",210
507,507,507,136,220,"9,1 ",210
508,508,508,136,220,"8,9 ",210
509,509,509,136,220,"9,1 ",210
510,510,510,136,220,"8,9 ",210
511,511,511,136,220,"8,9 ",210
512,512,512,136,220,"9,1 ",210
513,513,513,136,220,"9,1 ",210
514,514,514,136,220,"8,9 ",210
515,515,515,136,220,"9,1 ",210
516,516,516,136,220,"8,9 ",210
517,517,517,136,220,"8,9 ",210
518,518,518,136,220,"9,1 ",210
519,519,519,136,220,"9,1 ",210
520,520,520,184,290,"7,2 ",235
521,521,521,184,290,"7,2 ",235
522,522,522,184,270,"7,3 ",235
523,523,523,184,270,"7,3 ",235
524,524,524,184,270,"7,5 ",232
525,525,525,184,270,"7,6 ",230
526,526,526,184,270,"7,6 ",230
527,527,527,184,290,"7,2 ",235
528,528,528,184,290,"7,2 ",235
529,529,529,184,270,"7,3 ",235
530,530,530,184,270,"7,3 ",235
531,531,531,184,270,"7,5 ",232
532,532,532,184,270,"7,6 ",230
533,533,533,184,270,"7,6 ",230
534,534,534,184,290,"7,2 ",235
535,535,535,184,290,"7,2 ",235
536,536,536,184,270,"7,3 ",235
537,537,537,184,270,"7,3 ",235
538,538,538,184,270,"7,5 ",232
539,539,539,184,270,"7,6 ",230
540,540,540,184,270,"7,6 ",230
541,541,541,184,290,"7,2 ",235
542,542,542,184,290,"7,2 ",235
543,543,543,184,270,"7,3 ",235
544,544,544,184,270,"7,3 ",235
545,545,545,184,270,"7,5 ",232
546,546,546,184,270,"7,6 ",230
547,547,547,184,270,"7,6 ",230
548,548,548,184,290,"7,2 ",235
549,549,549,184,270,"7,3 ",235
550,550,550,184,270,"7,5 ",232
551,551,551,184,270,"7,6 ",230
552,552,552,184,290,"7,2 ",235
553,553,553,184,290,"7,2 ",235
554,554,554,184,270,"7,3 ",235
555,555,555,184,270,"7,3 ",235
556,556,556,184,270,"7,5 ",232
557,557,557,184,270,"7,6 ",230
558,558,558,184,270,"7,6 ",230
559,559,559,184,290,"7,2 ",235
560,560,560,184,270,"7,3 ",235
561,561,561,184,270,"7,5 ",232
562,562,562,184,270,"7,6 ",230
563,563,563,184,290,"7,2 ",235
564,564,564,184,290,"7,2 ",235
565,565,565,184,270,"7,3 ",235
566,566,566,184,270,"7,3 ",235
567,567,567,184,270,"7,5 ",232
568,568,568,184,270,"7,6 ",230
569,569,569,184,270,"7,6 ",230
570,570,570,252,350,"5,9 ",250
571,571,571,252,350,"5,8 ",250
572,572,572,252,350,"5,8 ",250
573,573,573,252,350,"5,8 ",250
574,574,574,252,350,"5,8 ",250
575,575,575,252,350,"5,9 ",250
576,576,576,252,350,"5,8 ",250
577,577,577,252,350,"5,8 ",250
578,578,578,252,350,"5,8 ",250
579,579,579,252,350,"5,8 ",250
580,580,580,252,350,"5,9 ",250
581,581,581,252,350,"5,8 ",250
582,582,582,252,350,"5,8 ",250
583,583,583,252,350,"5,8 ",250
584,584,584,252,350,"5,8 ",250
585,585,585,252,350,"5,9 ",250
586,586,586,252,350,"5,8 ",250
587,587,587,252,350,"5,8 ",250
588,588,588,252,350,"5,9 ",250
589,589,589,252,350,"5,8 ",250
590,590,590,252,350,"5,8 ",250
591,591,591,252,350,"5,8 ",250
592,592,592,252,350,"5,8 ",250
593,593,593,252,350,"5,9 ",250
594,594,594,252,350,"5,8 ",250
595,595,595,252,350,"5,8 ",250
596,596,596,252,350,"5,9 ",250
597,597,597,252,350,"5,8 ",250
598,598,598,252,350,"5,8 ",250
599,599,599,252,350,"5,8 ",250
600,600,600,252,350,"5,8 ",250
601,601,601,252,420,"6,1 ",225
602,602,602,252,420,"6,1 ",225
603,603,603,252,420,"6,1 ",225
604,604,604,252,420,"6,1 ",225
605,605,605,252,420,"6,1 ",225
606,606,606,252,420,"6,1 ",225
607,607,607,252,420,"6,1 ",225
608,608,608,252,420,"6,1 ",225
609,609,609,326,450,"5,5 ",250
610,610,610,326,450,"5,5 ",250
611,611,611,326,450,"5,0 ",250
612,612,612,326,450,"5,0 ",250
613,613,613,326,450,"5,5 ",250
614,614,614,326,450,"5,5 ",250
615,615,615,326,450,"5,5 ",250
616,616,616,326,450,"5,0 ",250
617,617,617,326,450,"5,0 ",250
618,618,618,326,450,"5,0 ",250
619,619,619,326,450,"5,5 ",250
620,620,620,326,450,"5,5 ",250
621,621,621,326,450,"5,5 ",250
622,622,622,326,450,"5,0 ",250
623,623,623,326,450,"5,0 ",250
624,624,624,326,450,"5,0 ",250
625,625,625,326,450,"5,5 ",250
626,626,626,326,450,"5,5 ",250
627,627,627,326,450,"5,0 ",250
628,628,628,326,450,"5,0 ",250
629,629,629,326,450,"5,5 ",250
630,630,630,326,450,"5,5 ",250
631,631,631,326,450,"5,5 ",250
632,632,632,326,450,"5,0 ",250
633,633,633,326,450,"5,0 ",250
634,634,634,326,450,"5,0 ",250
635,635,635,326,450,"5,5 ",250
636,636,636,326,450,"5,5 ",250
637,637,637,326,450,"5,0 ",250
638,638,638,326,450,"5,0 ",250
639,639,639,326,450,"5,5 ",250
640,640,640,326,450,"5,5 ",250
641,641,641,326,450,"5,5 ",250
642,642,642,326,450,"5,0 ",250
643,643,643,326,450,"5,0 ",250
644,644,644,326,450,"5,0 ",250
645,645,645,116,270,"10,7 ",205
646,646,646,116,270,"10,6 ",204
647,647,647,116,270,"10,9 ",205
648,648,648,116,270,"10,8 ",204
649,649,649,116,270,"10,8 ",204
650,650,650,116,270,"10,7 ",205
651,651,651,116,270,"10,6 ",204
652,652,652,116,270,"10,9 ",205
653,653,653,116,270,"10,8 ",204
654,654,654,116,270,"10,8 ",204
655,655,655,116,270,"10,7 ",205
656,656,656,116,270,"10,6 ",204
657,657,657,116,270,"10,9 ",205
658,658,658,116,270,"10,8 ",204
659,659,659,116,270,"10,8 ",204
660,660,660,116,270,"10,7 ",205
661,661,661,116,270,"10,6 ",204
662,662,662,116,270,"10,9 ",205
663,663,663,116,270,"10,8 ",204
664,664,664,116,270,"10,8 ",204
665,665,665,116,270,"10,7 ",205
666,666,666,116,270,"10,6 ",204
667,667,667,116,270,"10,9 ",205
668,668,668,116,270,"10,8 ",204
669,669,669,116,270,"10,7 ",205
670,670,670,116,270,"10,6 ",204
671,671,671,116,270,"10,9 ",205
672,672,672,116,270,"10,8 ",204
673,673,673,116,270,"10,8 ",204
674,674,674,116,270,"10,7 ",205
675,675,675,116,270,"10,6 ",204
676,676,676,116,270,"10,9 ",205
677,677,677,116,270,"10,8 ",204
678,678,678,116,270,"10,7 ",205
679,679,679,116,270,"10,6 ",204
680,680,680,116,270,"10,9 ",205
681,681,681,116,270,"10,8 ",204
682,682,682,116,270,"10,8 ",204
683,683,683,150,320,"8,6 ",215
684,684,684,150,320,"8,4 ",212
685,685,685,150,320,"8,7 ",215
686,686,686,150,320,"8,5 ",212
687,687,687,150,320,"8,5 ",212
688,688,688,150,320,"8,8 ",212
689,689,689,150,320,"8,6 ",215
690,690,690,150,320,"8,4 ",212
691,691,691,150,320,"8,7 ",215
692,692,692,150,320,"8,5 ",212
693,693,693,150,320,"8,5 ",212
694,694,694,150,320,"8,8 ",212
695,695,695,150,320,"8,6 ",215
696,696,696,150,320,"8,4 ",212
697,697,697,150,320,"8,7 ",215
698,698,698,150,320,"8,5 ",212
699,699,699,150,320,"8,5 ",212
700,700,700,150,320,"8,8 ",212
701,701,701,150,320,"8,6 ",215
702,702,702,150,320,"8,4 ",212
703,703,703,150,320,"8,7 ",215
704,704,704,150,320,"8,5 ",212
705,705,705,150,320,"8,5 ",212
706,706,706,150,320,"8,8 ",212
707,707,707,150,320,"8,6 ",215
708,708,708,150,320,"8,4 ",212
709,709,709,150,320,"8,7 ",215
710,710,710,150,320,"8,5 ",212
711,711,711,150,320,"8,8 ",212
712,712,712,150,320,"8,6 ",215
713,713,713,150,320,"8,4 ",212
714,714,714,150,320,"8,7 ",215
715,715,715,150,320,"8,5 ",212
716,716,716,150,320,"8,5 ",212
717,717,717,150,320,"8,8 ",212
718,718,718,150,320,"8,6 ",215
719,719,719,150,320,"8,4 ",212
720,720,720,150,320,"8,7 ",215
721,721,721,150,320,"8,5 ",212
722,722,722,150,320,"8,8 ",212
723,723,723,150,320,"8,6 ",215
724,724,724,150,320,"8,4 ",212
725,725,725,150,320,"8,7 ",215
726,726,726,150,320,"8,5 ",212
727,727,727,150,320,"8,5 ",212
728,728,728,150,320,"8,8 ",212
729,729,729,163,400,"7,9 ",230
730,730,730,163,400,"7,8 ",225
731,731,731,163,400,"8,0 ",230
732,732,732,163,400,"7,9 ",225
733,733,733,163,400,"7,9 ",225
